Molec_name	Conn_12	Conn_17	Conn_2	Conn_23	Conn_3	Conn_34	Conn_4	Conn_45	Conn_67	Conn_7	Ox_N1	Ox_O2	Ox_O3	Ox_N4	Ox_O5	Ox_O6	Central_bond	LS	Ox_state	DHI/DHICA	G_rel	E_S1	f_S1	E_S2	f_S2	E_S3	f_S3	G_rel_norm	E_S1_norm	E_S2_norm	E_S3_norm	log_f_S1_norm	log_f_S2_norm	log_f_S3_norm
z.lin.c.77.1.010-010	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	1	1	116.2	0.94	0.0000	1.59	0.0007	1.99	0.0228	0.9137	-0.749	-0.646	-0.661	-1.0000	-0.2758	0.2729
s.lin.c.77.1.110-000	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	100.3	2.00	0.0045	2.63	0.0102	2.65	0.0206	0.8545	-0.258	-0.104	-0.268	0.0120	0.1809	0.2562
z.lin.t.33.1.001-010	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	2	1	1	113.3	1.03	0.0038	1.72	0.0616	2.14	0.0041	0.9035	-0.708	-0.578	-0.571	-0.0160	0.4875	-0.0095
z.lin.t.33.1.010-010	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	2	1	1	115.0	1.03	0.0353	1.61	0.0437	2.13	0.0066	0.9095	-0.708	-0.635	-0.577	0.3533	0.4289	0.0688
z.lin.t.33.1.010-100	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	2	1	1	118.0	1.24	0.2273	1.80	0.0078	2.27	0.0444	0.9199	-0.610	-0.536	-0.494	0.6618	0.1352	0.3827
z.lin.t.33.2.010-111	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	2	2	1	98.7	1.26	0.2313	1.52	0.0302	2.26	0.0289	0.8480	-0.601	-0.682	-0.500	0.6647	0.3660	0.3120
z.lin.t.34.1.001-010	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	2	1	1	110.0	0.89	0.0291	1.51	0.1344	2.15	0.0267	0.8916	-0.773	-0.688	-0.565	0.3213	0.6205	0.2989
z.lin.t.34.1.010-001	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	1	2	1	1	112.1	1.00	0.0015	1.56	0.0617	2.14	0.0059	0.8992	-0.722	-0.661	-0.571	-0.1699	0.4877	0.0504
z.lin.t.34.1.010-010	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	2	1	1	108.7	1.07	0.1900	1.76	0.0056	2.37	0.0472	0.8868	-0.689	-0.557	-0.435	0.6321	0.0787	0.3927
z.lin.t.34.1.010-100	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	2	1	1	123.0	1.14	0.0490	1.42	0.0113	2.04	0.0174	0.9366	-0.657	-0.734	-0.631	0.4076	0.1984	0.2284
z.lin.t.34.2.010-111	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	1	2	2	1	98.7	1.16	0.1590	1.47	0.0199	2.16	0.0014	0.8480	-0.647	-0.708	-0.560	0.6026	0.2949	-0.1864
z.lin.t.37.1.001-010	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	2	1	1	113.7	1.00	0.0004	1.65	0.0037	2.09	0.0225	0.9049	-0.722	-0.615	-0.601	-0.3889	0.0081	0.2708
z.lin.t.37.1.010-001	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	2	1	1	108.1	0.98	0.1075	1.77	0.0285	2.28	0.0096	0.8846	-0.731	-0.552	-0.488	0.5377	0.3561	0.1305
z.lin.t.37.1.010-010	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	2	1	1	115.6	0.93	0.0038	1.59	0.0040	2.07	0.0223	0.9116	-0.754	-0.646	-0.613	-0.0160	0.0213	0.2693
z.lin.t.37.1.010-100	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	2	1	1	124.4	1.15	0.0347	1.44	0.0057	2.02	0.0210	0.9411	-0.652	-0.724	-0.643	0.3504	0.0817	0.2594
z.lin.t.37.1.100-010	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	2	1	1	121.5	1.01	0.0078	1.55	0.0008	2.02	0.0323	0.9316	-0.717	-0.667	-0.643	0.1032	-0.2530	0.3303
z.lin.t.37.2.010-111	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	2	2	1	98.1	1.20	0.1241	1.54	0.0170	2.16	0.0004	0.8455	-0.629	-0.672	-0.560	0.5615	0.2680	-0.3927
z.lin.t.37.2.111-010	0	0	0	0	1	0	0	0	0	1	1	1	1	0	1	0	1	2	2	1	102.3	1.01	0.0080	1.23	0.0302	2.02	0.0287	0.8624	-0.717	-0.833	-0.643	0.1074	0.3660	0.3108
z.lin.t.44.1.001-010	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	2	1	1	108.1	0.88	0.0032	1.48	0.1576	2.20	0.0271	0.8846	-0.777	-0.703	-0.536	-0.0444	0.6476	0.3014
z.lin.t.47.1.001-010	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	2	1	1	112.2	1.01	0.0019	1.50	0.0041	2.14	0.0260	0.8996	-0.717	-0.693	-0.571	-0.1308	0.0256	0.2946
z.lin.t.47.1.100-010	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	1	2	1	1	123.1	1.09	0.0026	1.41	0.0014	1.97	0.0262	0.9369	-0.680	-0.740	-0.673	-0.0788	-0.1576	0.2958
z.lin.t.47.2.111-010	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	1	2	2	1	99.8	1.04	0.0093	1.45	0.0381	2.09	0.0389	0.8525	-0.703	-0.719	-0.601	0.1323	0.4056	0.3609
s.lin.c.33.0.000-000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	108.6	3.97	0.2266	4.21	0.3612	4.24	0.3765	0.8865	0.657	0.719	0.679	0.6613	0.7890	0.7346
s.lin.t.34.0.000-000	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	108.3	4.10	0.3067	4.23	0.3883	4.27	0.4133	0.8853	0.717	0.729	0.696	0.7114	0.8013	0.7500
s.lin.t.37.0.000-000	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	107.8	4.12	0.3027	4.25	0.2289	4.28	0.5908	0.8835	0.726	0.740	0.702	0.7092	0.7112	0.8088
s.lin.c.47.0.000-000	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	105.9	4.08	0.3279	4.27	0.6018	4.32	0.1932	0.8763	0.708	0.750	0.726	0.7225	0.8760	0.6248
