Molec_name	Conn_12	Conn_17	Conn_2	Conn_23	Conn_3	Conn_34	Conn_4	Conn_45	Conn_67	Conn_7	Ox_N1	Ox_O2	Ox_O3	Ox_N4	Ox_O5	Ox_O6	Central_bond	LS	Ox_state	DHI/DHICA	G_rel	E_S1	f_S1	E_S2	f_S2	E_S3	f_S3	AIQM_E_rel	G_rel_norm	E_S1_norm	E_S2_norm	E_S3_norm	log_f_S1_norm	log_f_S2_norm	log_f_S3_norm	AIQM_E_rel_norm
s.cyc.17.32.2.x11-011	0	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	2	0	67.5	1.79	0.0417	2.27	0.0133	2.51	0.0000	53.9	-0.2615	-0.355	-0.292	-0.351	0.3809	0.2262	-1.0000	-0.2435
s.cyc.17.23.2.x11-101	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	2	0	68.0	1.63	0.0741	2.16	0.0128	2.52	0.0000	49.9	-0.2560	-0.429	-0.349	-0.345	0.4761	0.2196	-1.0000	-0.2995
d.cyc.23.34.2.111-010	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	2	0	68.7	1.63	0.0736	2.55	0.0061	2.57	0.0000	52.8	-0.2484	-0.429	-0.146	-0.315	0.4750	0.0933	-1.0000	-0.2582
d.cyc.23.43.2.001-111	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	2	0	69.1	1.51	0.0082	2.24	0.0238	2.88	0.3707	58.7	-0.2440	-0.485	-0.307	-0.131	0.1115	0.3254	0.7320	-0.1756
d.cyc.12.43.2.x01-111	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	2	0	69.9	2.02	0.0795	2.54	0.0421	2.77	0.0000	53.0	-0.2352	-0.248	-0.151	-0.196	0.4878	0.4226	-1.0000	-0.2550
z.cyc.34.45.2.111-0x1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	2	2	0	71.0	0.97	0.0086	1.90	0.0420	2.69	0.0000	52.6	-0.2232	-0.735	-0.484	-0.244	0.1193	0.4222	-1.0000	-0.2617
s.cyc.34.76.2.011-11x	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	0	1	0	2	0	71.2	1.47	0.0332	1.76	0.0326	2.61	0.0000	55.6	-0.2210	-0.503	-0.557	-0.292	0.3431	0.3790	-1.0000	-0.2192
d.cyc.17.23.2.x01-111	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	2	0	71.9	1.60	0.1051	2.56	0.0005	2.57	0.0182	49.3	-0.2133	-0.443	-0.141	-0.315	0.5340	-0.3331	0.2358	-0.3080
s.cyc.17.23.2.x11-110	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	2	0	71.9	1.60	0.0134	2.21	0.0764	2.63	0.0000	51.5	-0.2133	-0.443	-0.323	-0.280	0.1928	0.5242	-1.0000	-0.2763
s.cyc.34.45.2.110-1x1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	2	0	72.0	1.58	0.0499	2.16	0.0194	3.11	0.0543	50.7	-0.2123	-0.452	-0.349	0.006	0.4106	0.2905	0.4158	-0.2885
